"ProjectCountyName","businesses","jobs","num_loans","total_loans","avg_loan"
"ALAMEDA",38514,498276,44397,5219513942.82,117564.563885398
"ALPINE",16,114,17,713408.92,41965.2305882353
"AMADOR",553,4777,606,33882423.62,55911.5901320132
"BUTTE",3529,43707,3880,359817041.34,92736.3508608248
"CALAVERAS",760,7296,827,50075355.84,60550.6116565901
"COLUSA",379,7246,408,63870257.54,156544.748872549
"CONTRA COSTA",23037,254729,26194,2467058373.66,94184.1022241735
"DEL NORTE",270,3783,305,24057734.95,78877.8195081967
"EL DORADO",4058,42127,4513,372432418.93,82524.3560669178
"FRESNO",15007,232473,16610,1754649298.19,105638.127524985
"GLENN",431,6617,469,58613342.31,124975.143518124
"HUMBOLDT",2361,28539,2673,235333059.34,88040.8003516648
"IMPERIAL",1723,27799,1902,186941028.96,98286.5557097792
"INYO",330,5205,380,39653407.88,104351.073368421
"KERN",10557,170047,11608,1293160147.73,111402.493774121
"KINGS",1224,19766,1327,140746054.57,106063.341801055
"LAKE",703,10235,775,69590022.79,89793.5777935484
"LASSEN",269,2417,280,24888778.15,88888.4933928571
"LOS ANGELES",282245,3136184,323416,27618340840.6,85395.7158600687
"MADERA",1673,24781,1850,183585590.83,99235.4545027027
"MARIN",11322,107372,12866,1177313153.66,91505.7635364527
"MARIPOSA",177,1521,200,12462079.19,62310.39595
"MENDOCINO",1696,20198,1835,156639415.08,85362.0790626703
"MERCED",2884,41359,3138,296649771.68,94534.6627405991
"MODOC",154,715,162,8009176.1,49439.3586419753
"MONO",500,6128,573,42435253.55,74058.0341186736
"MONTEREY",7005,109215,7880,922361277.2,117050.923502538
"NAPA",4159,60626,4709,607080693.71,128919.238417923
"NEVADA",2666,23453,2928,199071466.8,67988.8889344262
"ORANGE",94032,1231959,106735,11171297672.41,104663.865390078
"PLACER",9727,114131,10784,1017640218.63,94365.7472765208
"PLUMAS",439,3280,475,35871758.06,75519.4906526316
"RIVERSIDE",36810,449095,41144,3499875349.25,85064.0518483861
"SACRAMENTO",25830,316234,28971,2720466639.86,93903.0975755065
"SAN BENITO",893,12627,981,101961332.38,103936.118634047
"SAN BERNARDINO",32883,416973,36678,3198158359.76,87195.5493691041
"SAN DIEGO",75456,953012,85237,8369227036.35,98187.7240675997
"SAN FRANCISCO",31284,389556,36467,4610522235.33,126429.984241369
"SAN JOAQUIN",10352,136160,11443,1095206184.76,95709.7076605785
"SAN LUIS OBISPO",7509,89217,8352,727664452.12,87124.5752059387
"SAN MATEO",18727,231901,21424,2534499588.63,118301.88520491
"SANTA BARBARA",11316,147164,12684,1239462018.84,97718.5445316935
"SANTA CLARA",39560,509318,45446,5382325669.32,118433.430209919
"SANTA CRUZ",6511,80705,7243,691344484.66,95450.0185917437
"SHASTA",3498,43060,3842,368610900.26,95942.4519156689
"SIERRA",44,288,49,1726862.42,35242.0902040816
"SISKIYOU",761,7073,832,47845711.66,57506.8649759615
"SOLANO",5928,69370,6618,635863838.05,96080.9667648836
"SONOMA",13550,153382,15168,1511370159.2,99642.0199894515
"STANISLAUS",7580,102672,8324,877856957.07,105460.951113647
"SUTTER",1747,25427,1925,171139224.01,88903.4929922078
"TEHAMA",693,8782,765,76436011.36,99916.3547189542
"TRINITY",99,885,107,7049686.78,65884.9231775701
"TULARE",5352,97118,5804,644971153.46,111125.284882839
"TUOLUMNE",876,8500,970,70121806.24,72290.5218969072
"VENTURA",20178,244485,22523,2049131926.86,90979.5287865737
"YOLO",3524,48704,3929,409190212.06,104146.147126495
"YUBA",593,6844,649,58347216.72,89903.2615100154
